ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749056610077947,0.003259133087899922,0.06814755623160769,0.0,0.0,3.992608550334242e-7,0.0,0.00002868023808656764,0.00004747877001105803,871667275,2339398313,0,0,221774,0,3959065,1649552
1749056670186564,0.002718894696911759,0.06455603528525702,0.0,0.0,3.9927719514824305e-7,0.0,0.00002477182264898891,0.0000449020479043795,871830704,2343278687,0,0,221798,0,3960554,1652251
1749056730296727,0.003055789417839376,0.06815800848851467,0.0,0.0,3.327224383004917e-7,0.0,0.000025686172236797962,0.00004759594479888534,872014388,2347375676,0,0,221818,0,3962098,1655112
1749056790408691,0.0031289777855203664,0.06815390360561169,0.0,0.0,3.992549636208858e-7,0.0,0.000027132701902736034,0.00004756124754133803,872202477,2351472541,0,0,221842,0,3963729,1657971
1749056850510019,0.0027521355268555797,0.06457571120558268,0.0,0.0,3.8268705144086e-7,0.0,0.000026089273767794283,0.00004504060209784383,872367884,2355353627,0,0,221865,0,3965297,1660678
1749056910620019,0.002891066378306438,0.06814734653135918,0.0,0.0,3.826318416236899e-7,0.0,0.000026068873731492263,0.000047462984528364664,872541666,2359449964,0,0,221888,0,3966864,1663531
1749056970730157,0.0030641752976843938,0.06814229905777291,0.0,0.0,3.65994834348908e-7,0.0,0.000025586366146755478,0.000047412967177017626,872725854,2363546007,0,0,221910,0,3968402,1666381
1749057030840409,0.0029204668780959363,0.0609812948380253,0.0,0.0,3.992663348009255e-7,0.0,0.00002510387080060819,0.000042555136850865304,872901404,2367211608,0,0,221934,0,3969911,1668939
1749057090950219,0.009342551573528514,0.2904964430930658,0.0,0.0,3.992692706897593e-7,0.0,0.00009627380289506821,0.00020176407145522504,873462983,2384673294,0,0,221958,0,3975698,1681067
1749057151059509,0.00911083794202194,0.29763241256052103,0.0,0.0,3.992727247319008e-7,0.0,0.00009580881757212571,0.00020649054414051472,874010629,2402563767,0,0,221982,0,3981457,1693479
1749057211074482,0.008989523331119386,0.30171115798052595,0.0,0.0,3.9990020490386624e-7,0.0,0.0000962759743306058,0.00020876456946835584,874550135,2420670954,0,0,222006,0,3987235,1706008
