ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749109754120428,0.0018041597027463278,0.010800803298864011,0.0,0.0,3.987056552509817e-7,0.0,0.000014885011129369984,7.708309334852314e-6,979727716,3811918851,0,0,242694,0,4804471,2673346
1749109814441329,0.00157631929271083,0.007746004987558127,0.0,0.0,3.9787204106914785e-7,0.0,0.000012814795322768802,5.4873185664119974e-6,979822801,3812386097,0,0,242718,0,4805244,2673677
1749109874709128,0.002134838207713542,0.011129807478119452,0.0,0.0,4.314078236041107e-7,0.0,0.000015431125998147037,8.014229953876365e-6,979951463,3813056866,0,0,242744,0,4806174,2674160
1749109935064139,0.001864120279921745,0.011305175638191832,0.0,0.0,3.8107854872232566e-7,0.0,0.000014679808442086109,8.035786788275127e-6,980063972,3813739190,0,0,242767,0,4807060,2674645
1749109995257326,0.0014263574380934507,0.007128996176926136,0.0,0.0,3.9871622015960045e-7,0.0,0.00001094808287854903,5.150084510394839e-6,980149829,3814168307,0,0,242791,0,4807719,2674955
1749110055462061,0.002058044105667104,0.011483249614835113,0.0,0.0,3.9863974154192357e-7,0.0,0.000014948990307822134,8.138894723147607e-6,980273733,3814859653,0,0,242815,0,4808619,2675445
1749110115692687,0.0016578609028569619,0.008188110148481604,0.0,0.0,3.9846838052123183e-7,0.0,0.000012186491304274341,5.910614311064939e-6,980373587,3815352828,0,0,242839,0,4809353,2675801
1749110176114849,0.0018635215337048019,0.011292793528308372,0.0,0.0,3.972052506164874e-7,0.0,0.00001492829733566965,8.059956543759557e-6,980486185,3816035163,0,0,242863,0,4810255,2676288
1749110239283920,0.0016047410290393538,0.007951628732991815,0.0,0.0,3.9576330004916486e-7,0.0,0.000011777915809463147,5.7148220527099405e-6,980587555,3816537460,0,0,242888,0,4810999,2676649
1749110299512885,0.0013819928667211864,0.006404227600457686,0.0,0.0,3.8187606245599604e-7,0.0,0.000010426876835755023,4.698735898915082e-6,980670791,3816923180,0,0,242911,0,4811627,2676932
